auc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.6643749999999999,0.7606249999999999,0.979375,0.9725,0.7899999999999999,0.833375
clipdet_latent10k_plus_local,0.6940624999999999,0.6131249999999999,0.893125,0.838125,0.684375,0.7445625
clipdet_latent10k_plus_fusiongl,0.7275,0.6074999999999999,0.9268750000000001,0.92875,0.6912499999999999,0.776375
clipdet_latent10k_plus,0.7275,0.6074999999999999,0.9268750000000001,0.92875,0.6912499999999999,0.776375
Corvi2023,0.8912500000000001,1.0,0.9568749999999999,0.68625,1.0,0.906875
clipdet_latent10k_plus_fusion_soft_or,0.700625,0.703125,0.95125,0.9493750000000001,0.76,0.812875
clipdet_latent10k_plus_fusion_w_70G_30L,0.6599999999999999,0.739375,0.9650000000000001,0.9568749999999999,0.7781250000000001,0.819875
clipdet_latent10k_plus_fusion_w_50G_50L,0.6768750000000001,0.7106250000000001,0.950625,0.944375,0.7650000000000001,0.8095000000000001
clipdet_latent10k_plus_fusion_w_30G_70L,0.6868749999999999,0.6699999999999999,0.94125,0.9225000000000001,0.743125,0.7927500000000001
clipdet_latent10k_plus_fusion_max_calibrated,0.739375,0.64375,0.961875,0.9612499999999999,0.724375,0.8061250000000001
clipdet_latent10k_plus_fusion_dynamic,0.6599999999999999,0.715625,0.956875,0.958125,0.775625,0.81325
fusion,0.8599999999999999,0.978125,0.9712500000000001,0.9293750000000001,0.979375,0.9436249999999999
