acc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.575,0.55,0.9,0.9,0.625,0.71
clipdet_latent10k_plus_local,0.65,0.65,0.7,0.7,0.7,0.68
clipdet_latent10k_plus_fusiongl,0.65,0.65,0.7,0.7,0.7,0.68
clipdet_latent10k_plus,0.65,0.65,0.7,0.7,0.7,0.68
Corvi2023,0.525,1.0,0.65,0.5,1.0,0.735
clipdet_latent10k_plus_fusion_soft_or,0.64375,0.6187499999999999,0.64375,0.64375,0.64375,0.6387499999999999
clipdet_latent10k_plus_fusion_w_70G_30L,0.5687500000000001,0.64375,0.86875,0.86875,0.66875,0.7237500000000001
clipdet_latent10k_plus_fusion_w_50G_50L,0.575,0.625,0.875,0.875,0.65,0.72
clipdet_latent10k_plus_fusion_w_30G_70L,0.6312500000000001,0.58125,0.85625,0.85625,0.70625,0.72625
clipdet_latent10k_plus_fusion_max_calibrated,0.74375,0.61875,0.79375,0.79375,0.66875,0.7237500000000001
clipdet_latent10k_plus_fusion_dynamic,0.575,0.625,0.875,0.875,0.65,0.72
fusion,0.65,0.65,0.65,0.65,0.65,0.65
